Stadium,Coordinates,City,Text
Arena Fonte Nova,"-12.978600, -38.504200","Salvador, Bahia","June 16, Group Stage, Opponent: Portugal, Score:4-0"
Estadio Castelao,"-3.807200, -38.522500","Fortaleza, Ceara","June 21, Group Stage, Opponent: Ghana, Score: 2-2,"
Arena Pernambuco,"-8.040000, -35.008100","Recife, Pernambuco","June 26, Group Stage, Opponent: USA, Score: 1-0"
Estadio Beira-Rio,"-30.065600, -51.236100","Porto Alegre, Rio Grande do Sul","June 30, Round of 16, Opponent: Algeria, Score: 2-1"
Estadio do Maracana,"-22.912200, -43.230200",Rio de Janeiro,"July 4, Quarterfinals, Opponent: France, Score: 1-0, &  July 13, Final, Opponent: Argentina, Score: 1-0"
Estadio Mineirao,"-19.865800, -43.970800","Belo Horizonte, Minas Gerais",July 8 Semifinals Opponent: Brazil Score: 7-1
